name,imageUrl,url,marketPrice,extNumber
500 Years in the Future - Pre-Release Pack,https://tcgplayer-cdn.tcgplayer.com/product/552054_200w.jpg,https://cpt.tcgcsv.com/6Rq6,2.77,,
Sterry,https://tcgplayer-cdn.tcgplayer.com/product/552056_200w.jpg,https://cpt.tcgcsv.com/8Rq6,0.29,OP07-006,
Dice,https://tcgplayer-cdn.tcgplayer.com/product/552057_200w.jpg,https://cpt.tcgcsv.com/9Rq6,0.35,OP07-007,
Dogura & Magura,https://tcgplayer-cdn.tcgplayer.com/product/552058_200w.jpg,https://cpt.tcgcsv.com/bRq6,0.23,OP07-009,
Bluejam,https://tcgplayer-cdn.tcgplayer.com/product/552059_200w.jpg,https://cpt.tcgcsv.com/cRq6,0.31,OP07-011,
Porchemy,https://tcgplayer-cdn.tcgplayer.com/product/552060_200w.jpg,https://cpt.tcgcsv.com/dRq6,0.34,OP07-012,
Keep Out,https://tcgplayer-cdn.tcgplayer.com/product/552061_200w.jpg,https://cpt.tcgcsv.com/fRq6,0.4,OP07-018,
Aladine,https://tcgplayer-cdn.tcgplayer.com/product/552062_200w.jpg,https://cpt.tcgcsv.com/gRq6,0.45,OP07-020,
Koala,https://tcgplayer-cdn.tcgplayer.com/product/552063_200w.jpg,https://cpt.tcgcsv.com/hRq6,0.26,OP07-024,
Coribou,https://tcgplayer-cdn.tcgplayer.com/product/552064_200w.jpg,https://cpt.tcgcsv.com/jRq6,0.28,OP07-025,
Jinbe (027),https://tcgplayer-cdn.tcgplayer.com/product/552065_200w.jpg,https://cpt.tcgcsv.com/kRq6,0.44,OP07-027,
Scratchmen Apoo,https://tcgplayer-cdn.tcgplayer.com/product/552066_200w.jpg,https://cpt.tcgcsv.com/lRq6,0.38,OP07-028,
Pappag,https://tcgplayer-cdn.tcgplayer.com/product/552067_200w.jpg,https://cpt.tcgcsv.com/mRq6,0.44,OP07-030,
Karmic Punishment,https://tcgplayer-cdn.tcgplayer.com/product/552068_200w.jpg,https://cpt.tcgcsv.com/nRq6,0.48,OP07-035,
Edward Weevil,https://tcgplayer-cdn.tcgplayer.com/product/552069_200w.jpg,https://cpt.tcgcsv.com/pRq6,0.45,OP07-039,
Gecko Moria (042),https://tcgplayer-cdn.tcgplayer.com/product/552070_200w.jpg,https://cpt.tcgcsv.com/qRq6,0.46,OP07-042,
Dracule Mihawk,https://tcgplayer-cdn.tcgplayer.com/product/552071_200w.jpg,https://cpt.tcgcsv.com/rRq6,0.54,OP07-044,
Buckin,https://tcgplayer-cdn.tcgplayer.com/product/552072_200w.jpg,https://cpt.tcgcsv.com/sRq6,0.37,OP07-049,
