SKU,Title,Status,Price,Product image URL,Rarity (product.metafields.shopify.rarity),Description,Color (product.metafields.shopify.color-pattern),Card attributes (product.metafields.shopify.card-attributes),Product Category,Tags
671479,Starter Deck 29: Egghead,Draft,68,https://tcgplayer-cdn.tcgplayer.com/product/671479_in_1000x1000.jpg,,,,,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece"
671480,Starter Deck 29: Egghead Display,Draft,374,https://tcgplayer-cdn.tcgplayer.com/product/671480_in_1000x1000.jpg,,,,,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece"
671534,Monkey.D.Luffy (001) (ST29-001),Draft,6,https://tcgplayer-cdn.tcgplayer.com/product/671534_in_1000x1000.jpg,Leader,"[When Attacking] If you have 2 or less Life cards, draw 1 card and trash 1 card from your hand.",Yellow,Leader,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671547,Monkey.D.Luffy (001) (Parallel) (ST29-001),Draft,81,https://tcgplayer-cdn.tcgplayer.com/product/671547_in_1000x1000.jpg,Leader,"[When Attacking] If you have 2 or less Life cards, draw 1 card and trash 1 card from your hand.",Yellow,Leader,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671548,Usopp (ST29-002),Draft,1,https://tcgplayer-cdn.tcgplayer.com/product/671548_in_1000x1000.jpg,Common,[On Play] / [When Attacking] Rest up to 1 of your opponent's Characters with a cost equal to or less than the number of your opponent's Life cards.,Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671550,Usopp (Full Art) (ST29-002),Draft,3,https://tcgplayer-cdn.tcgplayer.com/product/671550_in_1000x1000.jpg,Common,[On Play] / [When Attacking] Rest up to 1 of your opponent's Characters with a cost equal to or less than the number of your opponent's Life cards.,Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671554,Kaku (ST29-003),Draft,1,https://tcgplayer-cdn.tcgplayer.com/product/671554_in_1000x1000.jpg,Common,"If the number of your Life cards is equal to or less than the number of your opponent's Life cards, this Character gains +1000 power.
<br>[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 3 or less.",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671555,Kaku (Full Art) (ST29-003),Draft,2,https://tcgplayer-cdn.tcgplayer.com/product/671555_in_1000x1000.jpg,Common,"If the number of your Life cards is equal to or less than the number of your opponent's Life cards, this Character gains +1000 power.
<br>[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 3 or less.",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671557,Sanji (ST29-004),Draft,4,https://tcgplayer-cdn.tcgplayer.com/product/671557_in_1000x1000.jpg,super-rare,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.
<br>[Trigger] You may trash 1 card from your hand: Play this card.",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671558,Sanji (Full Art) (ST29-004),Draft,25,https://tcgplayer-cdn.tcgplayer.com/product/671558_in_1000x1000.jpg,super-rare,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.
<br>[Trigger] You may trash 1 card from your hand: Play this card.",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671559,Jinbe (ST29-005),Draft,1,https://tcgplayer-cdn.tcgplayer.com/product/671559_in_1000x1000.jpg,Common,"[Trigger] If your Leader is [Monkey.D.Luffy], play this card.",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671560,Jinbe (Full Art) (ST29-005),Draft,10,https://tcgplayer-cdn.tcgplayer.com/product/671560_in_1000x1000.jpg,Common,"[Trigger] If your Leader is [Monkey.D.Luffy], play this card.",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671562,Stussy (ST29-006),Draft,1,https://tcgplayer-cdn.tcgplayer.com/product/671562_in_1000x1000.jpg,Common,,Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671563,Stussy (Full Art) (ST29-006),Draft,4,https://tcgplayer-cdn.tcgplayer.com/product/671563_in_1000x1000.jpg,Common,,Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671595,Tony Tony.Chopper (ST29-007),Draft,1,https://tcgplayer-cdn.tcgplayer.com/product/671595_in_1000x1000.jpg,Common,"[On K.O.] <strong>You may add 1 card from the top or bottom of your Life cards to your hand:</strong> Add up to 1 card from your hand to the top of your Life cards.
<br>[Trigger] Up to 1 of your [Monkey.D.Luffy] cards gains +2000 power during this turn.",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671596,Tony Tony.Chopper (Full Art) (ST29-007),Draft,9,https://tcgplayer-cdn.tcgplayer.com/product/671596_in_1000x1000.jpg,Common,"[On K.O.] <strong>You may add 1 card from the top or bottom of your Life cards to your hand:</strong> Add up to 1 card from your hand to the top of your Life cards.
<br>[Trigger] Up to 1 of your [Monkey.D.Luffy] cards gains +2000 power during this turn.",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671597,Nami (ST29-008),Draft,1,https://tcgplayer-cdn.tcgplayer.com/product/671597_in_1000x1000.jpg,Common,"If your {Egghead} type Character would be K.O.'d by your opponent's effect, you may turn 1 card from the top of your Life cards face-up instead.
<br>[Trigger] If your Leader is [Monkey.D.Luffy], play this card.",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671598,Nami (Full Art) (ST29-008),Draft,40,https://tcgplayer-cdn.tcgplayer.com/product/671598_in_1000x1000.jpg,Common,"If your {Egghead} type Character would be K.O.'d by your opponent's effect, you may turn 1 card from the top of your Life cards face-up instead.
<br>[Trigger] If your Leader is [Monkey.D.Luffy], play this card.",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671599,Nico Robin (ST29-009),Draft,2,https://tcgplayer-cdn.tcgplayer.com/product/671599_in_1000x1000.jpg,Common,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[Trigger] If your Leader is [Monkey.D.Luffy], play this card.",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671600,Nico Robin (Full Art) (ST29-009),Draft,52,https://tcgplayer-cdn.tcgplayer.com/product/671600_in_1000x1000.jpg,Common,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[Trigger] If your Leader is [Monkey.D.Luffy], play this card.",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671601,Franky (ST29-010),Draft,1,https://tcgplayer-cdn.tcgplayer.com/product/671601_in_1000x1000.jpg,Common,,Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671602,Franky (Full Art) (ST29-010),Draft,3,https://tcgplayer-cdn.tcgplayer.com/product/671602_in_1000x1000.jpg,Common,,Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671603,Brook (ST29-011),Draft,1,https://tcgplayer-cdn.tcgplayer.com/product/671603_in_1000x1000.jpg,Common,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671604,Brook (Full Art) (ST29-011),Draft,6,https://tcgplayer-cdn.tcgplayer.com/product/671604_in_1000x1000.jpg,Common,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671605,Monkey.D.Luffy (012) (ST29-012),Draft,1,https://tcgplayer-cdn.tcgplayer.com/product/671605_in_1000x1000.jpg,Common,"[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to 1 of your [Monkey.D.Luffy] cards.
<br>[Trigger] Play this card.",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671606,Monkey.D.Luffy (012) (Full Art) (ST29-012),Draft,10,https://tcgplayer-cdn.tcgplayer.com/product/671606_in_1000x1000.jpg,Common,"[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to 1 of your [Monkey.D.Luffy] cards.
<br>[Trigger] Play this card.",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671607,Rob Lucci (ST29-013),Draft,1,https://tcgplayer-cdn.tcgplayer.com/product/671607_in_1000x1000.jpg,Common,[Trigger] K.O. up to 1 of your opponent's Characters with a cost equal to or less than the total of your and your opponent's Life cards.,Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671608,Rob Lucci (Full Art) (ST29-013),Draft,3,https://tcgplayer-cdn.tcgplayer.com/product/671608_in_1000x1000.jpg,Common,[Trigger] K.O. up to 1 of your opponent's Characters with a cost equal to or less than the total of your and your opponent's Life cards.,Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
671609,Roronoa Zoro (ST29-014),Draft,2,https://tcgplayer-cdn.tcgplayer.com/product/671609_in_1000x1000.jpg,super-rare,"[Rush: Character] <em>(This card can attack Characters on the turn in which it is played.)</em>
<br>[Activate: Main] [Once Per Turn] <strong>You may trash 1 card with a [Trigger] from your hand:</strong> Draw 1 card and give up to 1 rested DON!! card to your Leader or 1 of your Characters.",Yellow,Character,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Collectible Trading Cards,"English, One Piece, Single"
