productId,name,extNumber,imageUrl,url,marketPrice,extRarity,extDescription,extColor,extCardType
671479,Starter Deck 29: Egghead,,https://tcgplayer-cdn.tcgplayer.com/product/671479_200w.jpg,https://cpt.tcgcsv.com/CCn7,32.52,,,,
671480,Starter Deck 29: Egghead Display,,https://tcgplayer-cdn.tcgplayer.com/product/671480_200w.jpg,https://cpt.tcgcsv.com/DCn7,180.29,,,,
671534,Monkey.D.Luffy (001),ST29-001,https://tcgplayer-cdn.tcgplayer.com/product/671534_200w.jpg,https://cpt.tcgcsv.com/JDn7,2.81,L,"[When Attacking] If you have 2 or less Life cards, draw 1 card and trash 1 card from your hand.",Yellow,Leader
671547,Monkey.D.Luffy (001) (Parallel),ST29-001,https://tcgplayer-cdn.tcgplayer.com/product/671547_200w.jpg,https://cpt.tcgcsv.com/ZDn7,39.11,L,"[When Attacking] If you have 2 or less Life cards, draw 1 card and trash 1 card from your hand.",Yellow,Leader
671548,Usopp,ST29-002,https://tcgplayer-cdn.tcgplayer.com/product/671548_200w.jpg,https://cpt.tcgcsv.com/-Dn7,0.08,C,[On Play] / [When Attacking] Rest up to 1 of your opponent's Characters with a cost equal to or less than the number of your opponent's Life cards.,Yellow,Character
671550,Usopp (Full Art),ST29-002,https://tcgplayer-cdn.tcgplayer.com/product/671550_200w.jpg,https://cpt.tcgcsv.com/0Fn7,1.33,C,[On Play] / [When Attacking] Rest up to 1 of your opponent's Characters with a cost equal to or less than the number of your opponent's Life cards.,Yellow,Character
671554,Kaku,ST29-003,https://tcgplayer-cdn.tcgplayer.com/product/671554_200w.jpg,https://cpt.tcgcsv.com/6Fn7,0.08,C,"If the number of your Life cards is equal to or less than the number of your opponent's Life cards, this Character gains +1000 power.
<br>[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 3 or less.",Yellow,Character
671555,Kaku (Full Art),ST29-003,https://tcgplayer-cdn.tcgplayer.com/product/671555_200w.jpg,https://cpt.tcgcsv.com/7Fn7,0.58,C,"If the number of your Life cards is equal to or less than the number of your opponent's Life cards, this Character gains +1000 power.
<br>[Trigger] K.O. up to 1 of your opponent's Characters with a cost of 3 or less.",Yellow,Character
671557,Sanji,ST29-004,https://tcgplayer-cdn.tcgplayer.com/product/671557_200w.jpg,https://cpt.tcgcsv.com/9Fn7,1.59,SR,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.
<br>[Trigger] You may trash 1 card from your hand: Play this card.",Yellow,Character
671558,Sanji (Full Art),ST29-004,https://tcgplayer-cdn.tcgplayer.com/product/671558_200w.jpg,https://cpt.tcgcsv.com/bFn7,11.73,SR,"[On Play] Look at 4 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.
<br>[Trigger] You may trash 1 card from your hand: Play this card.",Yellow,Character
671559,Jinbe,ST29-005,https://tcgplayer-cdn.tcgplayer.com/product/671559_200w.jpg,https://cpt.tcgcsv.com/cFn7,0.34,C,"[Trigger] If your Leader is [Monkey.D.Luffy], play this card.",Yellow,Character
671560,Jinbe (Full Art),ST29-005,https://tcgplayer-cdn.tcgplayer.com/product/671560_200w.jpg,https://cpt.tcgcsv.com/dFn7,4.67,C,"[Trigger] If your Leader is [Monkey.D.Luffy], play this card.",Yellow,Character
671562,Stussy,ST29-006,https://tcgplayer-cdn.tcgplayer.com/product/671562_200w.jpg,https://cpt.tcgcsv.com/gFn7,0.11,C,,Yellow,Character
671563,Stussy (Full Art),ST29-006,https://tcgplayer-cdn.tcgplayer.com/product/671563_200w.jpg,https://cpt.tcgcsv.com/hFn7,1.8,C,,Yellow,Character
671595,Tony Tony.Chopper,ST29-007,https://tcgplayer-cdn.tcgplayer.com/product/671595_200w.jpg,https://cpt.tcgcsv.com/WFn7,0.18,C,"[On K.O.] <strong>You may add 1 card from the top or bottom of your Life cards to your hand:</strong> Add up to 1 card from your hand to the top of your Life cards.
<br>[Trigger] Up to 1 of your [Monkey.D.Luffy] cards gains +2000 power during this turn.",Yellow,Character
671596,Tony Tony.Chopper (Full Art),ST29-007,https://tcgplayer-cdn.tcgplayer.com/product/671596_200w.jpg,https://cpt.tcgcsv.com/XFn7,4.04,C,"[On K.O.] <strong>You may add 1 card from the top or bottom of your Life cards to your hand:</strong> Add up to 1 card from your hand to the top of your Life cards.
<br>[Trigger] Up to 1 of your [Monkey.D.Luffy] cards gains +2000 power during this turn.",Yellow,Character
671597,Nami,ST29-008,https://tcgplayer-cdn.tcgplayer.com/product/671597_200w.jpg,https://cpt.tcgcsv.com/ZFn7,0.36,C,"If your {Egghead} type Character would be K.O.'d by your opponent's effect, you may turn 1 card from the top of your Life cards face-up instead.
<br>[Trigger] If your Leader is [Monkey.D.Luffy], play this card.",Yellow,Character
671598,Nami (Full Art),ST29-008,https://tcgplayer-cdn.tcgplayer.com/product/671598_200w.jpg,https://cpt.tcgcsv.com/-Fn7,19.02,C,"If your {Egghead} type Character would be K.O.'d by your opponent's effect, you may turn 1 card from the top of your Life cards face-up instead.
<br>[Trigger] If your Leader is [Monkey.D.Luffy], play this card.",Yellow,Character
671599,Nico Robin,ST29-009,https://tcgplayer-cdn.tcgplayer.com/product/671599_200w.jpg,https://cpt.tcgcsv.com/_Fn7,0.6,C,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[Trigger] If your Leader is [Monkey.D.Luffy], play this card.",Yellow,Character
671600,Nico Robin (Full Art),ST29-009,https://tcgplayer-cdn.tcgplayer.com/product/671600_200w.jpg,https://cpt.tcgcsv.com/0Gn7,24.84,C,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>[Trigger] If your Leader is [Monkey.D.Luffy], play this card.",Yellow,Character
671601,Franky,ST29-010,https://tcgplayer-cdn.tcgplayer.com/product/671601_200w.jpg,https://cpt.tcgcsv.com/2Gn7,0.11,C,,Yellow,Character
671602,Franky (Full Art),ST29-010,https://tcgplayer-cdn.tcgplayer.com/product/671602_200w.jpg,https://cpt.tcgcsv.com/3Gn7,1.29,C,,Yellow,Character
671603,Brook,ST29-011,https://tcgplayer-cdn.tcgplayer.com/product/671603_200w.jpg,https://cpt.tcgcsv.com/5Gn7,0.1,C,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Yellow,Character
671604,Brook (Full Art),ST29-011,https://tcgplayer-cdn.tcgplayer.com/product/671604_200w.jpg,https://cpt.tcgcsv.com/6Gn7,2.61,C,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Yellow,Character
671605,Monkey.D.Luffy (012),ST29-012,https://tcgplayer-cdn.tcgplayer.com/product/671605_200w.jpg,https://cpt.tcgcsv.com/7Gn7,0.13,C,"[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to 1 of your [Monkey.D.Luffy] cards.
<br>[Trigger] Play this card.",Yellow,Character
