Title,Price,SKU
Romance Dawn - Booster Pack,111,450085
Romance Dawn - Booster Box (Wave 1 - Blue),8157,450086
Romance Dawn - Booster Box Case (Wave 2 - White),18808,450087
Trafalgar Law (002) (OP01-002),12,453505
Monkey.D.Luffy (003) (Parallel) (OP01-003),952,453506
Cavendish (Box Topper) (OP01-008),15,453507
Monkey.D.Luffy (024) (OP01-024),17,453508
Monkey.D.Luffy (024) (Parallel) (OP01-024),226,453509
Roronoa Zoro (025) (OP01-025),12,453510
Roronoa Zoro (025) (Parallel) (OP01-025),208,453511
In Two Years!! At the Sabaody Archipelago!! (OP01-030),12,453512
Inuarashi (Box Topper) (OP01-034),14,453513
Kin'emon (OP01-040),12,453514
Trafalgar Law (047) (Parallel) (OP01-047),84,453515
Nekomamushi (Box Topper) (OP01-048),13,453516
Kaido (061) (OP01-061),12,453517
Alvida (Box Topper) (OP01-064),21,453518
Crocodile (067) (OP01-067),12,453519
Perona (Box Topper) (OP01-077),56,453520
Kaido (094) (OP01-094),12,453521
Who's.Who (Box Topper) (OP01-109),12,453522
Roronoa Zoro (001) (OP01-001),12,454512
Roronoa Zoro (001) (Parallel) (OP01-001),645,454513
Trafalgar Law (002) (Parallel) (OP01-002),555,454514
Monkey.D.Luffy (003) (OP01-003),17,454515
Usopp (OP01-004),12,454516
Uta (OP01-005),12,454517
Uta (OP01-005),12,454517
Otama (OP01-006),12,454518
Caribou (OP01-007),12,454519
Cavendish (OP01-008),12,454520
Carrot (OP01-009),12,454522
Komachiyo (OP01-010),12,454525
Gordon (OP01-011),12,454526
Sai (OP01-012),12,454527
Sanji (OP01-013),12,454529
Sanji (Parallel) (OP01-013),110,454530
Jinbe (014) (OP01-014),12,454532
Tony Tony.Chopper (OP01-015),12,454533
Nami (OP01-016),12,454534
Nami (Parallel) (OP01-016),716,454536
Nico Robin (OP01-017),12,454538
Hajrudin (OP01-018),12,454540
Bartolomeo (OP01-019),12,454542
Hyogoro (OP01-020),12,454543
Franky (OP01-021),12,454544
Brook (OP01-022),12,454545
Marco (OP01-023),12,454546
Gum-Gum Fire-Fist Pistol Red Hawk (OP01-026),12,454547
Round Table (OP01-027),12,454548
Green Star Rafflesia (OP01-028),12,454549
Radical Beam!! (OP01-029),12,454550
Kouzuki Oden (OP01-031),12,454551
Kouzuki Oden (Parallel) (OP01-031),153,454552
Ashura Doji (OP01-032),12,454553
Izo (OP01-033),12,454554
Inuarashi (OP01-034),12,454555
Okiku (OP01-035),12,454556
Otsuru (OP01-036),12,454558
Kawamatsu (OP01-037),12,454560
Kanjuro (OP01-038),12,454562
Killer (OP01-039),12,454563
Kin'emon (Parallel) (OP01-040),20,454564
Kouzuki Momonosuke (OP01-041),12,454565
Komurasaki (OP01-042),12,454566
Shinobu (OP01-043),12,454567
Shachi (OP01-044),12,454568
Jean Bart (OP01-045),12,454569
Denjiro (OP01-046),12,454570
Trafalgar Law (047) (OP01-047),12,454571
Nekomamushi (OP01-048),12,454572
Bepo (OP01-049),12,454573
Penguin (OP01-050),12,454574
"Eustass""Captain""Kid (OP01-051)",12,454575
"Eustass""Captain""Kid (Parallel) (OP01-051)",51,454576
Raizo (OP01-052),12,454577
Wire (OP01-053),12,454578
X.Drake (054) (OP01-054),12,454579
You Can Be My Samurai!! (OP01-055),12,454580
Demon Face (OP01-056),12,454581
Paradise Waterfall (OP01-057),12,454582
Punk Gibson (OP01-058),12,454583
BE-BENG!! (OP01-059),12,454584
Donquixote Doflamingo (060) (OP01-060),12,454585
Donquixote Doflamingo (060) (Parallel) (OP01-060),453,454586
Kaido (061) (Parallel) (OP01-061),169,454587
Crocodile (062) (OP01-062),12,454588
Crocodile (062) (Parallel) (OP01-062),190,454589
